run_id,score0,score1,score2,score3,score4,score5,score6,score7,score8,score9,universal_score
067,-165.78,-152.60,-151.73,-146.52,-143.84,-141.62,-137.22,-132.48,-131.39,-131.13,-148.76454545454547
146,-168.45,-165.90,-165.64,-164.73,-159.85,-153.88,-152.24,-151.67,-150.60,-147.07,-161.75581818181817
288,-236.52,-228.34,-226.78,-219.32,-217.70,-208.99,-204.86,-203.68,-203.61,-199.24,-221.0514545454545
737,-174.36,-164.24,-163.95,-161.93,-154.44,-152.11,-150.78,-148.38,-146.72,-142.99,-160.7045454545455
798,-168.99,-165.69,-160.29,-158.26,-156.03,-155.22,-152.56,-151.14,-151.12,-150.62,-160.00090909090912
484,-221.49,-215.67,-214.43,-214.34,-210.51,-207.82,-207.23,-200.64,-200.39,-194.29,-212.72400000000007
283,-189.85,-182.71,-181.39,-169.07,-167.37,-167.02,-164.44,-163.69,-163.47,-162.18,-175.54127272727274
488,-193.29,-187.18,-185.30,-184.95,-183.59,-183.44,-178.84,-178.77,-176.62,-176.31,-185.35509090909088
057,-177.13,-174.03,-173.59,-168.42,-165.57,-165.36,-161.27,-159.40,-157.82,-157.69,-169.49200000000002
307,-171.16,-159.70,-156.18,-155.14,-147.60,-146.10,-142.16,-140.95,-138.67,-138.33,-154.68327272727274
474,-249.66,-221.23,-220.43,-219.08,-216.20,-215.14,-213.30,-206.51,-202.71,-201.47,-222.49436363636366
193,-171.33,-170.91,-166.22,-164.20,-164.04,-162.29,-160.17,-158.82,-158.32,-157.51,-165.7750909090909
743,-205.26,-197.25,-188.24,-186.80,-186.61,-186.20,-183.39,-182.20,-181.58,-180.45,-191.19636363636366
485,-207.54,-207.08,-200.01,-191.20,-187.13,-185.11,-184.36,-182.70,-179.78,-178.33,-195.44290909090907
346,-172.72,-156.72,-146.72,-145.89,-143.29,-142.48,-141.39,-141.37,-140.51,-140.15,-151.19363636363633
302,-241.77,-241.29,-233.99,-233.24,-225.23,-220.05,-217.75,-216.80,-215.92,-213.99,-231.14127272727274
685,-197.26,-189.08,-188.49,-179.96,-178.35,-175.14,-171.27,-166.34,-164.04,-162.80,-182.9589090909091
356,-182.73,-167.67,-155.77,-154.55,-150.71,-150.38,-148.68,-148.31,-144.93,-143.19,-159.87636363636366
374,-172.68,-165.38,-148.31,-145.05,-144.16,-143.71,-138.62,-136.34,-135.62,-135.58,-152.1978181818182
645,-177.00,-173.70,-172.57,-172.54,-172.29,-172.12,-170.34,-168.86,-168.34,-168.11,-172.8856363636364
664,-189.69,-185.36,-182.24,-172.76,-172.64,-168.96,-167.26,-166.87,-166.14,-166.08,-177.83690909090913
310,-207.57,-206.48,-202.96,-196.64,-194.78,-192.27,-190.40,-188.47,-186.97,-186.88,-199.12800000000001
545,-225.18,-224.79,-220.90,-213.52,-200.19,-200.15,-189.28,-186.25,-186.12,-185.32,-211.12854545454545
464,-233.65,-213.62,-200.14,-199.41,-199.10,-191.62,-188.79,-186.90,-186.88,-186.49,-205.17963636363638
749,-197.74,-177.18,-173.95,-170.50,-169.59,-163.60,-162.15,-158.50,-157.20,-155.24,-174.2981818181818
103,-208.67,-198.66,-195.91,-189.52,-189.48,-184.03,-181.62,-181.23,-180.87,-177.59,-193.36527272727272
