run_id,patch,zip_name,name,contigs,pdb,iterations,hotspot,num_designs,num_seqs,initial_guess,num_recycles,use_multimer,rm_aa,mpnn_sampling_temp
0,0,HPV_capsid_around_the_pore_X137_6233t.result,HPV_capsid_around_the_pore_X137,B:C:D:E:F:20-40,/content/7kzf_reduced_around_X137.pdb,50,"B137,C137,D137,E137,F137",2,8,True,3,False,C,0.1
1,0,HPV_capsid_around_the_pore_X137_auv2a.result,HPV_capsid_around_the_pore_X137,B:C:D:E:F:20-40,/content/7kzf_reduced_around_X137.pdb,50,"B137,C137,D137,E137,F137",1,8,True,3,False,C,0.1
2,0,HPV_capsid_around_the_pore_X137_txkzl.result,HPV_capsid_around_the_pore_X137,B:C:D:E:F:20-40,/content/7kzf_reduced_around_X137.pdb,50,"B137,C137,D137,E137,F137",2,8,True,3,False,C,0.1
3,0,HPV_capsid_inside_the_pore_X259.result,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre ,B:C:D:E:F:20-40,/content/7kzf_reduced_around_X126_to_135.pdb,50,"B126,B127,B128,B129,B130",8,8,True,3,False,C,0.1
4,0,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre.result,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre,B:C:D:E:F:20-40,/content/7kzf_reduced_around_X126_to_135.pdb,50,"B126,B127,B128,B129,B130",1,8,True,3,False,C,0.1
5,0,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre.result_2,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre,B:C:D:E:F:20-40,/content/7kzf_reduced_around_X126_to_135.pdb,50,"B126,B127,B128,B129,B130",2,8,True,3,False,C,0.1
6,0,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre_0dcey.result,HPV_capsid_in_B126_to_B130_groove_of_126_to_135_structre,B:C:D:E:F:10-20,/content/7kzf_reduced_around_X126_to_135.pdb,50,"B126,B127,B128,B129,B130",4,8,True,3,False,C,0.1
7,0,HPV_capsid_on_B39_42_65_447_479_groove.result,HPV_capsid_on_B39_42_65_447_479_groove,B:C:32-48,/content/7kzf_B39_42_65_447_449_r20.pdb,50,"B39,B42,B65,B447,B449",8,8,True,3,False,C,0.1
8,0,HPV_capsid_on_B39_42_65_447_479_groove_from_complete_B_and_C.result,HPV_capsid_on_B39_42_65_447_479_groove_from_complete_B_and_C,B:C:32-48,7kzf,50,"B39,B42,B65,B447,B449",1,8,True,3,False,C,0.1
9,0,HPV_capsid_on_B39_42_65_447_479_groove_from_complete_B_and_C.result_1,HPV_capsid_on_B39_42_65_447_479_groove_from_complete_B_and_C,B:C:70-80,7kzf,50,"B39,B42,B65,B447,B449",4,8,True,3,False,C,0.1
10,0,HPV_capsid_on_B39_42_65_447_479_groove_from_complete_B_and_C.result_2,HPV_capsid_on_B39_42_65_447_479_groove_from_complete_B_and_C,B:C:70-80,7kzf,50,"B39,B42,B65,B447,B449",4,8,True,3,False,C,0.1
